iter	Passed	Remaining
0	137	137408
1	139	69408
2	140	46711
3	141	35333
4	143	28465
5	144	23885
6	145	20667
7	146	18209
8	147	16286
9	148	14747
10	150	13491
11	151	12445
12	152	11555
13	153	10795
14	154	10134
15	156	9600
16	157	9099
17	158	8667
18	160	8286
19	161	7930
20	163	7599
21	164	7310
22	165	7043
23	166	6785
24	168	6560
25	170	6404
26	172	6213
27	173	6024
28	174	5854
29	175	5687
30	177	5547
31	178	5397
32	179	5254
33	180	5123
34	182	5022
35	184	4945
36	186	4841
37	187	4741
38	188	4647
39	189	4557
40	191	4471
41	192	4380
42	192	4295
43	193	4214
44	195	4142
45	196	4078
46	198	4019
47	200	3979
48	201	3920
49	203	3857
50	204	3798
51	205	3740
52	206	3685
53	207	3630
54	208	3575
55	209	3535
56	211	3505
57	213	3462
58	213	3412
59	214	3365
60	215	3318
61	216	3276
62	217	3232
63	218	3191
64	219	3151
65	219	3110
66	220	3071
67	221	3037
68	222	3001
69	223	2975
70	225	2953
71	227	2932
72	228	2899
73	229	2870
74	230	2840
75	231	2812
76	232	2782
77	232	2753
78	233	2724
79	234	2697
80	235	2672
81	236	2646
82	236	2615
83	237	2591
84	239	2574
85	241	2569
86	242	2547
87	243	2524
88	244	2501
89	245	2480
90	246	2459
91	247	2438
92	247	2416
93	248	2396
94	249	2375
95	250	2355
96	250	2336
97	251	2316
98	253	2307
99	255	2298
100	256	2285
101	257	2267
102	258	2250
103	259	2233
104	260	2218
105	261	2202
106	262	2187
107	262	2171
108	264	2159
109	265	2144
110	265	2130
111	267	2123
112	271	2129
113	272	2121
114	275	2118
115	276	2109
116	277	2097
117	279	2092
118	281	2084
119	283	2079
120	285	2076
121	286	2065
122	288	2056
123	290	2049
124	291	2039
125	292	2027
126	293	2015
127	294	2005
128	295	1995
129	297	1994
130	300	1995
131	302	1986
132	303	1977
133	304	1968
134	306	1963
135	307	1953
136	308	1945
137	310	1938
138	313	1940
139	315	1938
140	316	1929
141	317	1919
142	318	1910
143	320	1902
144	321	1894
145	322	1885
146	323	1878
147	325	1872
148	327	1869
149	329	1866
150	330	1860
151	332	1853
152	333	1846
153	334	1838
154	335	1831
155	337	1824
156	338	1816
157	339	1811
158	341	1808
159	344	1807
160	345	1801
161	346	1794
162	348	1788
163	349	1783
164	351	1777
165	352	1770
166	354	1765
167	355	1761
168	357	1756
169	358	1750
170	360	1745
171	361	1739
172	362	1734
173	364	1728
174	365	1723
175	366	1716
176	368	1713
177	370	1709
178	372	1706
179	373	1703
180	375	1698
181	376	1693
182	378	1690
183	379	1684
184	381	1679
185	382	1673
186	385	1674
187	387	1672
188	388	1667
189	389	1662
190	391	1656
191	392	1652
192	393	1647
193	395	1641
194	396	1636
195	398	1635
196	400	1634
197	402	1628
198	403	1624
199	404	1619
200	406	1614
201	407	1610
202	409	1606
203	410	1602
204	411	1597
205	413	1593
206	415	1591
207	416	1586
208	417	1581
209	419	1576
210	420	1572
211	422	1570
212	423	1565
213	424	1560
214	425	1555
215	427	1551
216	429	1549
217	430	1544
218	431	1539
219	433	1535
220	434	1532
221	435	1527
222	436	1522
223	437	1517
224	439	1512
225	440	1509
226	442	1505
227	443	1502
228	445	1500
229	447	1497
230	448	1493
231	449	1489
232	451	1484
233	452	1480
234	453	1475
235	454	1470
236	455	1466
237	456	1463
238	459	1462
239	460	1458
240	461	1454
241	462	1450
242	464	1446
243	465	1443
244	467	1439
245	468	1435
246	469	1431
247	470	1427
248	472	1424
249	474	1422
250	475	1418
251	476	1414
252	477	1410
253	478	1406
254	480	1402
255	481	1398
256	482	1395
257	483	1391
258	485	1388
259	487	1388
260	489	1387
261	491	1384
262	492	1381
263	494	1377
264	495	1373
265	496	1370
266	498	1367
267	499	1364
268	501	1362
269	503	1361
270	505	1359
271	506	1356
272	507	1352
273	509	1349
274	510	1345
275	511	1342
276	513	1339
277	514	1336
278	516	1334
279	518	1333
280	521	1333
281	522	1330
282	525	1330
283	527	1328
284	528	1325
285	529	1322
286	532	1322
287	535	1322
288	536	1319
289	537	1316
290	538	1313
291	540	1309
292	541	1305
293	542	1303
